"document_id","source","company_name","ticker","sector","document_type","year","quarter","collection_date","file_path","notes"
"AAPL_2016_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2016","","2026-01-31","data\raw\AAPL_2016_10K.txt",""
"AAPL_2017_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2017","","2026-01-31","data\raw\AAPL_2017_10K.txt",""
"AAPL_2018_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2018","","2026-01-31","data\raw\AAPL_2018_10K.txt",""
"AAPL_2019_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2019","","2026-01-31","data\raw\AAPL_2019_10K.txt",""
"AAPL_2020_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2020","","2026-01-31","data\raw\AAPL_2020_10K.txt",""
"AAPL_2021_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2021","","2026-01-31","data\raw\AAPL_2021_10K.txt",""
"AAPL_2022_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2022","","2026-01-31","data\raw\AAPL_2022_10K.txt",""
"AAPL_2023_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2023","","2026-01-31","data\raw\AAPL_2023_10K.txt",""
"AAPL_2024_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2024","","2026-01-31","data\raw\AAPL_2024_10K.txt",""
"AAPL_2025_10K","SEC_EDGAR","Apple Inc.","AAPL","","10-K","2025","","2026-01-31","data\raw\AAPL_2025_10K.txt",""
"GOOGL_2017_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2017","","2026-01-31","data\raw\GOOGL_2017_10K.txt",""
"GOOGL_2018_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2018","","2026-01-31","data\raw\GOOGL_2018_10K.txt",""
"GOOGL_2019_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2019","","2026-01-31","data\raw\GOOGL_2019_10K.txt",""
"GOOGL_2020_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2020","","2026-01-31","data\raw\GOOGL_2020_10K.txt",""
"GOOGL_2021_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2021","","2026-01-31","data\raw\GOOGL_2021_10K.txt",""
"GOOGL_2022_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2022","","2026-01-31","data\raw\GOOGL_2022_10K.txt",""
"GOOGL_2023_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2023","","2026-01-31","data\raw\GOOGL_2023_10K.txt",""
"GOOGL_2024_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2024","","2026-01-31","data\raw\GOOGL_2024_10K.txt",""
"GOOGL_2025_10K","SEC_EDGAR","Alphabet Inc.","GOOGL","","10-K","2025","","2026-01-31","data\raw\GOOGL_2025_10K.txt",""
"MSFT_2016_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2016","","2026-01-31","data\raw\MSFT_2016_10K.txt",""
"MSFT_2017_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2017","","2026-01-31","data\raw\MSFT_2017_10K.txt",""
"MSFT_2018_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2018","","2026-01-31","data\raw\MSFT_2018_10K.txt",""
"MSFT_2019_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2019","","2026-01-31","data\raw\MSFT_2019_10K.txt",""
"MSFT_2020_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2020","","2026-01-31","data\raw\MSFT_2020_10K.txt",""
"MSFT_2021_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2021","","2026-01-31","data\raw\MSFT_2021_10K.txt",""
"MSFT_2022_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2022","","2026-01-31","data\raw\MSFT_2022_10K.txt",""
"MSFT_2023_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2023","","2026-01-31","data\raw\MSFT_2023_10K.txt",""
"MSFT_2024_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2024","","2026-01-31","data\raw\MSFT_2024_10K.txt",""
"MSFT_2025_10K","SEC_EDGAR","MICROSOFT CORP","MSFT","","10-K","2025","","2026-01-31","data\raw\MSFT_2025_10K.txt",""
"NVDA_2016_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2016","","2026-01-31","data\raw\NVDA_2016_10K.txt",""
"NVDA_2017_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2017","","2026-01-31","data\raw\NVDA_2017_10K.txt",""
"NVDA_2018_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2018","","2026-01-31","data\raw\NVDA_2018_10K.txt",""
"NVDA_2019_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2019","","2026-01-31","data\raw\NVDA_2019_10K.txt",""
"NVDA_2020_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2020","","2026-01-31","data\raw\NVDA_2020_10K.txt",""
"NVDA_2021_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2021","","2026-01-31","data\raw\NVDA_2021_10K.txt",""
"NVDA_2022_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2022","","2026-01-31","data\raw\NVDA_2022_10K.txt",""
"NVDA_2023_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2023","","2026-01-31","data\raw\NVDA_2023_10K.txt",""
"NVDA_2024_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2024","","2026-01-31","data\raw\NVDA_2024_10K.txt",""
"NVDA_2025_10K","SEC_EDGAR","NVIDIA CORP","NVDA","","10-K","2025","","2026-01-31","data\raw\NVDA_2025_10K.txt",""
META_2026_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2026,,2026-01-31,data\raw\META_2026_10K.txt,
META_2025_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2025,,2026-01-31,data\raw\META_2025_10K.txt,
META_2024_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2024,,2026-01-31,data\raw\META_2024_10K.txt,
META_2023_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2023,,2026-01-31,data\raw\META_2023_10K.txt,
META_2022_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2022,,2026-01-31,data\raw\META_2022_10K.txt,
ORCL_2025_10K,SEC_EDGAR,ORACLE CORP,ORCL,,10-K,2025,,2026-01-31,data\raw\ORCL_2025_10K.txt,
META_2021_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2021,,2026-01-31,data\raw\META_2021_10K.txt,
ORCL_2024_10K,SEC_EDGAR,ORACLE CORP,ORCL,,10-K,2024,,2026-01-31,data\raw\ORCL_2024_10K.txt,
META_2020_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2020,,2026-01-31,data\raw\META_2020_10K.txt,
META_2019_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2019,,2026-01-31,data\raw\META_2019_10K.txt,
ORCL_2023_10K,SEC_EDGAR,ORACLE CORP,ORCL,,10-K,2023,,2026-01-31,data\raw\ORCL_2023_10K.txt,
META_2018_10K,SEC_EDGAR,"Meta Platforms, Inc.",META,,10-K,2018,,2026-01-31,data\raw\META_2018_10K.txt,
